,output_gap,inflation_surprise
const,-0.1996465043197262,-0.26599362897316936
g,0.6727624494059624,-0.05963911674084329
inflation_surprise_lag1,,0.8829655150537205
output_gap_lag1,0.6082021066270146,
output_gap_pct,,0.057135263214021965
r,-0.06346770697975304,-0.0924596544410686
