,c_Coef.,c_Std.Err.,c_t,c_P>|t|,c_[0.025,c_0.975],i_Coef.,i_Std.Err.,i_t,i_P>|t|,i_[0.025,i_0.975],nx_Coef.,nx_Std.Err.,nx_t,nx_P>|t|,nx_[0.025,nx_0.975]
const,-1.8299415682958193,1.0514177862501988,-1.7404514097313935,0.08501777116622442,-3.917269783556436,0.2573866469647974,0.8775817964954126,1.1891817670095888,0.7379711166462379,0.4623510576409928,-1.483242499815204,3.238406092806029,0.39831479812523113,2.1189075707752325,0.18798120485241457,0.8512923305792245,-3.8082485830995165,4.604878179349979
r_avg12,-0.6336698838373848,0.3348027666788596,-1.8926662109850374,0.061446751064166,-1.2983374123642437,0.03099764468947408,0.3047454227572477,0.3570429871591226,0.853525860238875,0.39551475732647023,-0.40407452579631886,1.0135653713108144,0.058960264204715084,0.6768161981062502,0.0871141446816543,0.9307641396709728,-1.2846897722769919,1.4026103006864221
