date,output_gap_pct,inflation_pct,inflation_expected,r,g,inflation_surprise,output_gap_lag1,inflation_surprise_lag1,output_gap_fitted,inflation_surprise_fitted
2016-02-29,0.4644474845917287,3.2355915065722884,2.71,-2.96,-0.8657062290712078,0.5255915065722885,0.5915902458488151,0.2711764705882471,-0.2343903010103593,0.3252927043358872
2016-03-31,0.2015649223765308,3.3266129032258007,2.75,-3.0875,-0.8351977783442536,0.5766129032258007,0.4644474845917287,0.5255915065722885,-0.28310172357072955,0.5448816521211544
2016-04-30,0.1768282985561355,3.313253012048212,2.7333333333333334,-3.2333333333333334,-0.5280089402436091,0.5799196787148788,0.2015649223765308,0.5766129032258007,-0.2270666292868782,0.5836816810120993
2016-05-31,-0.2268813997657358,3.4068136272545235,2.716666666666667,-3.216666666666667,-0.6021803219151944,0.6901469605878567,0.1768282985561355,0.5799196787148788,-0.29306901153081216,0.5664179113089636
2016-06-30,-0.6663405584512779,3.696303696303693,2.7,-3.2,-0.3026971941501404,0.9963036963036926,-0.2268813997657358,0.6901469605878567,-0.33818289304128346,0.6192342818582206
2016-07-31,-0.5450448699957776,4.395604395604402,2.81,-3.31,-0.029566822441946,1.585604395604402,-0.6663405584512779,0.9963036963036926,-0.4147295734850269,0.890371690648093
2016-08-31,-0.6643985777228879,4.004004004004003,2.92,-3.42,0.1610223165639284,1.0840040040040029,-0.5450448699957776,1.585604395604402,-0.2057546164860793,1.4026885746989128
2016-09-30,0.0161075328267971,3.578528827037774,3.03,-3.53,0.7843672296055572,0.5485288270377744,-0.6643985777228879,1.0840040040040029,0.14799870533095288,0.9716684442731423
2016-10-31,-0.9483881213391618,3.6633663366336666,3.01,-3.51,0.1940208688730508,0.6533663366336668,0.0161075328267971,0.5485288270377744,0.16345173755593548,0.4771141582115585
2016-11-30,-1.122323996356987,3.553800592300105,2.99,-3.49,0.3571076034993349,0.5638005923001046,-0.9483881213391618,0.6533663366336668,-0.3147072742271972,0.5481686499732592
2016-12-31,-0.6425641378049538,3.468780971258667,2.97,-3.47,0.1402208594330453,0.4987809712586668,-1.122323996356987,0.5638005923001046,-0.5676780511523678,0.5075821329545873
2017-01-31,-0.5599486080521565,2.758620689655178,2.93,-3.43,-0.3477352176203112,-0.1713793103448222,-0.6425641378049538,0.4987809712586668,-0.6067043283860734,0.48029519307727475
2017-02-28,-0.3236693490754563,2.5465230166503483,2.89,-3.39,0.1676788961548662,-0.3434769833496518,-0.5599486080521565,-0.1713793103448222,-0.2122448357877137,-0.13237057616260728
2017-03-31,-0.3971731369888491,2.4390243902439046,2.85,-3.35,0.1631866287304482,-0.4109756097560955,-0.3236693490754563,-0.3434769833496518,-0.07410022984084284,-0.29195701623280956
2017-04-30,-0.2559007678448892,2.235179786200181,2.8666666666666667,-3.3666666666666667,0.3295591760501065,-0.6314868804664857,-0.3971731369888491,-0.4109756097560955,-0.005818390929821712,-0.35186565919866925
2017-05-31,-0.07004380018405,2.131782945736438,2.8833333333333333,-3.3833333333333333,0.5494509035087232,-0.7515503875968954,-0.2559007678448892,-0.6314868804664857,0.22909645387722044,-0.547523674312723
2017-06-30,0.23150757359382,1.9267822736030784,2.9,-3.4,0.6462839606136219,-0.9732177263969216,-0.07004380018405,-0.7515503875968954,0.4083384929375401,-0.6405404373682999
2017-07-31,-0.4773460324477074,1.5311004784688942,2.833333333333333,-3.333333333333333,0.2900547149179204,-1.3022328548644388,0.23150757359382,-0.9732177263969216,0.34785383337591547,-0.8616843700960335
2017-08-31,0.0134117699143688,1.347449470644846,2.7666666666666666,-3.2666666666666666,0.7182994573825645,-1.4192171960218205,-0.4773460324477074,-1.3022328548644388,0.2006033783117253,-1.1558579214037676
2017-09-30,0.5351874050142416,1.6314779270633517,2.7,-3.2,0.5437332661504272,-1.0685220729366485,0.0134117699143688,-1.4192171960218205,0.3774105486898649,-1.2250922757017608
2017-10-31,0.1771010671216135,1.241642788920716,2.6933333333333334,-3.1933333333333334,0.581986909762223,-1.4516905444126174,0.5351874050142416,-1.0685220729366485,0.7200680860726988,-0.9387977441022748
2017-11-30,0.5424732528614058,1.143946615824576,2.686666666666667,-3.186666666666667,0.802764316698956,-1.542720050842091,0.1771010671216135,-1.4516905444126174,0.6503868520297711,-1.2700300221103893
2017-12-31,0.4915561505024639,1.6283524904214364,2.68,-3.18,0.3395116466159626,-1.0516475095785638,0.5424732528614058,-1.542720050842091,0.5605248660342111,-1.3263035168100357
2018-01-31,-0.1592771200665013,1.6299137104506256,2.67,-3.17,0.2419816915801438,-1.0400862895493743,0.4915561505024639,-1.0516475095785638,0.46330780860601106,-0.9249969238772469
2018-02-28,0.3629897523276162,2.1967526265520565,2.66,-3.16,0.3856403819244381,-0.4632473734479436,-0.1592771200665013,-1.0400862895493743,0.16348313770769923,-0.8944411840060127
2018-03-31,0.1786723502631708,2.190476190476187,2.65,-3.15,0.2870781119458332,-0.4595238095238128,0.3629897523276162,-0.4632473734479436,0.4141832784796882,-0.39068976644827424
2018-04-30,0.1062986694060213,2.3764258555132978,2.66,-3.16,0.2031862111375116,-0.2835741444867024,0.1786723502631708,-0.4595238095238128,0.2462764026527431,-0.38560924180538
2018-05-31,0.4135001074657897,2.277039848197337,2.67,-3.17,0.1780775292436591,-0.3929601518026628,0.1062986694060213,-0.2835741444867024,0.18600107622860768,-0.2102776640140005
2018-06-30,0.2596579151152423,2.551984877126668,2.68,-3.18,-0.0892657523174219,-0.1280151228733324,0.4135001074657897,-0.3929601518026628,0.19361779414994396,-0.2987828367334661
2018-07-31,0.3542016043876567,3.016022620169645,2.7133333333333334,-3.2133333333333334,-0.0112780288286407,0.3026892868363116,0.2596579151152423,-0.1280151228733324,0.1546334507847884,-0.06101286469628396
2018-08-31,0.3169183785703606,3.418803418803429,2.7466666666666666,-3.2466666666666666,-0.2324942150144081,0.6721367521367623,0.3542016043876567,0.3026892868363116,0.06542476873463687,0.3334292157726274
2018-09-30,-0.1238196899917623,3.399433427762033,2.78,-3.205,-0.2458982919503035,0.6194334277620333,0.3169183785703606,0.6721367521367623,0.03108678482846472,0.6314038234086669
2018-10-31,1.0748378666924714,3.113207547169816,2.786666666666666,-3.036666666666666,0.239229638265966,0.32654088050315,-0.1238196899917623,0.6194334277620333,0.07872108699087713,0.608857577366396
2018-11-30,0.7647255964294579,3.4872761545711617,2.793333333333333,-3.043333333333333,0.0129332869959424,0.6939428212378287,1.0748378666924714,0.32654088050315,0.6559265685650967,0.3466377245408785
2018-12-31,1.0710910201916737,3.4872761545711617,2.8,-3.05,0.0510921595003352,0.6872761545711619,0.7647255964294579,0.6939428212378287,0.49341060707940265,0.6868858737440255
2019-01-31,1.135589649013993,3.113207547169816,2.8,-3.05,0.4204991720973169,0.3132075471698163,1.0710910201916737,0.6872761545711619,0.928265869831745,0.6626534751625497
2019-02-28,1.0519042109418602,2.9906542056074903,2.8,-3.05,0.4176080519559759,0.1906542056074904,1.135589649013993,0.3132075471698163,0.9655490346882178,0.3277548288831818
2019-03-31,1.0138605153301388,2.889095992544277,2.8,-2.9785714285714286,0.5820921369385351,0.0890959925442773,1.0519042109418602,0.1906542056074904,1.0207766832184964,0.20095687138884785
2019-04-30,1.5432812032618854,2.878365831012064,2.8166666666666664,-2.8166666666666664,0.2641228992801916,0.0616991643453976,1.0138605153301388,0.0890959925442773,0.7734449402535986,0.14552680798610645
