date,output_gap_pct,inflation_pct,inflation_expected,r,g,c,i,nx,inflation_surprise
2016-01-31,0.5915902458488151,2.941176470588247,2.67,-2.92,-0.7808838347579845,0.4932396593920016,-5.248208093823357,2.5048426658096967,0.2711764705882471
2016-02-29,0.4644474845917287,3.2355915065722884,2.71,-2.96,-0.8657062290712078,-0.1475956596459054,-1.7978599753598896,-2.535520478256789,0.5255915065722885
2016-03-31,0.2015649223765308,3.3266129032258007,2.75,-3.0875,-0.8351977783442536,-0.4764923741761127,-0.7375126851539746,-0.9613533731414676,0.5766129032258007
2016-04-30,0.1768282985561355,3.313253012048212,2.7333333333333334,-3.2333333333333334,-0.5280089402436091,-1.085957568495649,1.0102786345058434,0.1621902813040049,0.5799196787148788
2016-05-31,-0.2268813997657358,3.4068136272545235,2.716666666666667,-3.216666666666667,-0.6021803219151944,-0.5663809471797688,-0.0955023926616484,-2.853336166259149,0.6901469605878567
2016-06-30,-0.6663405584512779,3.696303696303693,2.7,-3.2,-0.3026971941501404,-1.2375774550759049,4.565556945175499,-1.0600823822594063,0.9963036963036926
2016-07-31,-0.5450448699957776,4.395604395604402,2.81,-3.31,-0.029566822441946,-1.445474394138908,-1.1539079385812745,-0.4280565009971785,1.5856043956044021
2016-08-31,-0.6643985777228879,4.004004004004003,2.92,-3.42,0.1610223165639284,-1.158436088868509,2.945320245670464,-7.765960819701673,1.0840040040040027
2016-09-30,0.0161075328267971,3.578528827037774,3.03,-3.53,0.7843672296055572,-1.277129956967385,6.43744190255382,-3.522759662382597,0.5485288270377744
2016-10-31,-0.9483881213391618,3.6633663366336666,3.01,-3.51,0.1940208688730508,0.0124953519003843,-1.487692933224236,2.6214700276976868,0.6533663366336668
2016-11-30,-1.122323996356987,3.553800592300105,2.99,-3.49,0.3571076034993349,-0.2215456789969829,3.4298317624413914,1.971397880875314,0.5638005923001046
2016-12-31,-0.6425641378049538,3.468780971258667,2.97,-3.47,0.1402208594330453,-0.8367605211695973,-1.862179976540796,6.887511494528155,0.4987809712586668
2017-01-31,-0.5599486080521565,2.758620689655178,2.93,-3.43,-0.3477352176203112,0.5793957086312759,1.69272839756201,-1.7719545510868204,-0.17137931034482223
2017-02-28,-0.3236693490754563,2.5465230166503483,2.89,-3.39,0.1676788961548662,0.3085272024530009,-0.2797559841448355,2.2881512377764075,-0.3434769833496518
2017-03-31,-0.3971731369888491,2.4390243902439046,2.85,-3.35,0.1631866287304482,-0.4957498613975927,4.549862955527248,5.259907673676823,-0.4109756097560955
2017-04-30,-0.2559007678448892,2.235179786200181,2.8666666666666667,-3.3666666666666667,0.3295591760501065,-0.0117082107393188,-5.112962785127512,5.835323460138495,-0.6314868804664857
2017-05-31,-0.07004380018405,2.131782945736438,2.8833333333333333,-3.3833333333333333,0.5494509035087232,0.5298778081412159,-0.4467650615601585,-1.967164373373759,-0.7515503875968954
2017-06-30,0.23150757359382,1.9267822736030784,2.9,-3.4,0.6462839606136219,0.0052723564256997,4.577646969388116,11.33788768414769,-0.9732177263969215
2017-07-31,-0.4773460324477074,1.5311004784688942,2.833333333333333,-3.333333333333333,0.2900547149179204,-0.1912598298392687,-2.100490452570212,-0.9754572605067414,-1.3022328548644388
2017-08-31,0.0134117699143688,1.347449470644846,2.7666666666666666,-3.2666666666666666,0.7182994573825645,-0.1460964321508503,-0.5252324883749807,4.138163466669804,-1.4192171960218205
2017-09-30,0.5351874050142416,1.6314779270633517,2.7,-3.2,0.5437332661504272,0.1734386076375932,-5.512885455751936,6.714316344466203,-1.0685220729366485
2017-10-31,0.1771010671216135,1.241642788920716,2.6933333333333334,-3.1933333333333334,0.581986909762223,0.4187178624786314,-2.876628818593417,-0.3864507335336166,-1.4516905444126174
2017-11-30,0.5424732528614058,1.143946615824576,2.686666666666667,-3.186666666666667,0.802764316698956,1.2942677626961958,2.105420674735732,-3.5078729334491747,-1.542720050842091
2017-12-31,0.4915561505024639,1.6283524904214364,2.68,-3.18,0.3395116466159626,0.9301785366824264,-3.074266656670524,1.0591692246535858,-1.0516475095785638
2018-01-31,-0.1592771200665013,1.6299137104506256,2.67,-3.17,0.2419816915801438,-0.4311333863743247,-3.971204634132879,0.6269527401469944,-1.0400862895493743
2018-02-28,0.3629897523276162,2.1967526265520565,2.66,-3.16,0.3856403819244381,-0.0254081140417117,-5.329395943535604,1.3979473130462827,-0.46324737344794364
2018-03-31,0.1786723502631708,2.190476190476187,2.65,-3.15,0.2870781119458332,1.5975911678760673,-4.439601085652191,-2.9295135105863244,-0.4595238095238128
2018-04-30,0.1062986694060213,2.3764258555132978,2.66,-3.16,0.2031862111375116,1.6535666200580508,-1.1046041881583455,-2.4822646772498502,-0.2835741444867024
2018-05-31,0.4135001074657897,2.277039848197337,2.67,-3.17,0.1780775292436591,1.5181508330983111,1.952804217181056,-5.952918145617599,-0.39296015180266286
2018-06-30,0.2596579151152423,2.5519848771266678,2.68,-3.18,-0.0892657523174219,0.5951833615301613,-3.705861233605816,2.966770294828367,-0.1280151228733324
2018-07-31,0.3542016043876567,3.016022620169645,2.7133333333333334,-3.2133333333333334,-0.0112780288286407,0.4243633265450172,-3.0629136630987968,-2.3203640602344,0.3026892868363116
2018-08-31,0.3169183785703606,3.418803418803429,2.7466666666666666,-3.2466666666666666,-0.2324942150144081,1.0805368537397866,-2.8957629038378108,5.107116861023186,0.6721367521367623
2018-09-30,-0.1238196899917623,3.399433427762033,2.78,-3.205,-0.2458982919503035,0.831211692264541,-0.1163883469874949,-1.6638919979501594,0.6194334277620333
