month,gdp,output_gap_pct
2016-01-01,237777,0.5915902458488151
2016-02-01,237904,0.4644474845917287
2016-03-01,237708,0.20156492237653087
2016-04-01,238076,0.17682829855613558
2016-05-01,237542,-0.22688139976573585
2016-06-01,236920,-0.6663405584512779
2016-07-01,237635,-0.5450448699957776
2016-08-01,237776,-0.6643985777228879
2016-09-01,239835,0.01610753282679714
2016-10-01,237949,-0.9483881213391618
2016-11-01,237958,-1.122323996356987
2016-12-01,239542,-0.6425641378049538
2017-01-01,240171,-0.5599486080521565
2017-02-01,241172,-0.32366934907545636
2017-03-01,241423,-0.39717313698884915
2017-04-01,242193,-0.25590076784488924
2017-05-01,243070,-0.07004380018405003
2017-06-01,244227,0.23150757359382
2017-07-01,242916,-0.4773460324477074
2017-08-01,244527,0.013411769914368812
2017-09-01,246212,0.5351874050142416
2017-10-01,245736,0.17710106712161355
2017-11-01,247027,0.5424732528614058
2017-12-01,247288,0.49155615050246393
2018-01-01,246061,-0.15927712006650138
2018-02-01,247715,0.36298975232761627
2018-03-01,247616,0.1786723502631708
2018-04-01,247782,0.10629866940602137
2018-05-01,248877,0.41350010746578975
2018-06-01,248818,0.2596579151152423
2018-07-01,249363,0.35420160438765674
2018-08-01,249568,0.31691837857036065
2018-09-01,248755,-0.12381968999176236
2018-10-01,252014,1.0748378666924714
2018-11-01,251500,0.7647255964294579
2018-12-01,252511,1.0710910201916735
2019-01-01,252905,1.135589649013993
2019-02-01,252915,1.0519042109418602
2019-03-01,253026,1.0138605153301388
2019-04-01,254547,1.5432812032618854
2019-05-01,255596,1.8883994637818244
2019-06-01,256059,2.003820701622205
2019-07-01,257997,2.7099619925528833
2019-08-01,258080,2.680169886845325
2019-09-01,257633,2.441755291541313
2019-10-01,258369,2.674731081535045
2019-11-01,257758,2.3721879928569947
2019-12-01,257397,2.1675201120188246
2020-01-01,257900,2.302510676737869
2020-02-01,258566,2.496849104104839
2020-03-01,241337,-4.404470566851201
2020-04-01,229906,-9.008648200412132
2020-05-01,235267,-6.974710713823233
2020-06-01,242735,-4.123551666455269
2020-07-01,245006,-3.340958404580676
2020-08-01,246155,-3.0146750986536843
2020-09-01,247780,-2.514443624155485
2020-10-01,251675,-1.1363923477678943
2020-11-01,250180,-1.888841999293426
2020-12-01,253599,-0.7268912767448674
2021-01-01,254990,-0.37308886885771386
2021-02-01,252617,-1.4993211730590725
2021-03-01,249983,-2.732755544419042
2021-04-01,252059,-2.141787326398263
2021-05-01,254806,-1.3023072401006288
2021-06-01,255670,-1.2022019173402216
2021-07-01,259761,0.13463635716085853
2021-08-01,258775,-0.49302752248411874
2021-09-01,261126,0.1578914697874881
2021-10-01,262909,0.5848616403274915
2021-11-01,264764,1.0349373705175204
2021-12-01,264672,0.7405595676896578
2022-01-01,263321,-0.03031167795775599
2022-02-01,266097,0.766534605695927
2022-03-01,269835,1.9246827425210502
2022-04-01,270266,1.833912937650115
2022-05-01,268991,1.1060670777921502
2022-06-01,270734,1.517750954444615
2022-07-01,270126,1.0529416886719505
2022-08-01,272465,1.695623662738795
2022-09-01,271191,0.9957170400827494
2022-10-01,271880,1.0344150734363138
2022-11-01,273853,1.5553878180434388
2022-12-01,274465,1.5769800643281255
2023-01-01,270936,0.07540441870305636
2023-02-01,272195,0.3510840469812404
2023-03-01,275215,1.280022896539228
2023-04-01,273580,0.5017652138995803
2023-05-01,274416,0.6383136790565701
2023-06-01,274347,0.44874859410550527
2023-07-01,275065,0.552893520391888
2023-08-01,274881,0.33258621666128063
2023-09-01,274772,0.14502131712207814
2023-10-01,276490,0.6273017328233237
2023-11-01,275186,0.01392453203250569
2023-12-01,274306,-0.4403089770326443
2024-01-01,275705,-0.06410951002855206
2024-02-01,274956,-0.4637073929828848
2024-03-01,275457,-0.40796370060179266
2024-04-01,275485,-0.5211196159101329
2024-05-01,276332,-0.33688908739938506
2024-06-01,276631,-0.34906204767164334
2024-07-01,278038,0.038648378414605375
2024-08-01,277446,-0.2919884140237161
2024-09-01,277692,-0.32031137602380333
2024-10-01,276884,-0.7259502933278494
2024-11-01,277468,-0.6318092989026127
2024-12-01,277107,-0.8757319208201388
2025-01-01,279757,-0.04316871457792462
2025-02-01,280265,0.02308780185419629
2025-03-01,279211,-0.46759319112729575
